Common lines: 0

Only in Original ACL: 43
anesDoc1, carPat1HR, addItem
carDoc2, oncPat1noteItem, type [ {HR}
carDoc2, oncPat1nursingItem, topics ] {note}
carDoc2, oncPat1nursingItem, type [ {HR}
carDoc2, oncPat1oncItem, topics ] {note}
carDoc2, oncPat1oncItem, type [ {HR}
carDoc2, oncPat2HR, type [ {HR}
carDoc2, oncPat2noteItem, topics ] {note}
carDoc2, oncPat2noteItem, type [ {HR}
carDoc2, oncPat2nursingItem, topics ] {note}
carDoc2, oncPat2nursingItem, type [ {HR}
carDoc2, oncPat2oncItem, topics ] {note}
carDoc2, oncPat2oncItem, type [ {HR}
carNurse1, carPat1HR, type [ {HR}
carNurse1, carPat1HR, ward = ward
carNurse1, carPat1carItem, topics ] {note}
carNurse1, carPat1carItem, topics ] {nursing}
carNurse1, carPat1carItem, type [ {HR}
carNurse1, carPat1noteItem, topics ] {note}
carNurse1, carPat1noteItem, topics ] {nursing}
carNurse1, carPat1noteItem, type [ {HR}
carNurse1, carPat1nursingItem, topics ] {note}
carNurse1, carPat1nursingItem, topics ] {nursing}
carNurse1, carPat1nursingItem, type [ {HR}
carNurse1, carPat2HR, type [ {HR}
carNurse1, carPat2HR, ward = ward
carNurse1, carPat2carItem, topics ] {note}
carNurse1, carPat2carItem, topics ] {nursing}
carNurse1, carPat2carItem, type [ {HR}
carNurse1, carPat2noteItem, topics ] {note}
carNurse1, carPat2noteItem, topics ] {nursing}
carNurse1, carPat2noteItem, type [ {HR}
carNurse1, carPat2nursingItem, topics ] {note}
carNurse1, carPat2nursingItem, topics ] {nursing}
carNurse1, carPat2nursingItem, type [ {HR}
carNurse1, oncPat1HR, type [ {HR}
carNurse1, oncPat1HR, ward = ward
carNurse1, oncPat1noteItem, topics ] {note}
carNurse1, oncPat1noteItem, topics ] {nursing}
carNurse1, oncPat1noteItem, type [ {HR}
carNurse1, oncPat1nursingItem, topics ] {note}
carNurse1, oncPat1nursingItem, topics ] {nursing}
carNurse1, oncPat1nursingItem, type [ {HR}
carNurse1, oncPat1oncItem, topics ] {note}
carNurse1, oncPat1oncItem, topics ] {nursing}
carNurse1, oncPat1oncItem, type [ {HR}
carNurse1, oncPat2HR, type [ {HR}
carNurse1, oncPat2HR, ward = ward
carNurse1, oncPat2noteItem, topics ] {note}
carNurse1, oncPat2noteItem, topics ] {nursing}
carNurse1, oncPat2noteItem, type [ {HR}
carNurse1, oncPat2nursingItem, topics ] {note}
carNurse1, oncPat2nursingItem, topics ] {nursing}
carNurse1, oncPat2nursingItem, type [ {HR}
carNurse1, oncPat2oncItem, topics ] {note}
carNurse1, oncPat2oncItem, topics ] {nursing}
carNurse1, oncPat2oncItem, type [ {HR}
carNurse2, carPat1HR, type [ {HR}
carNurse2, carPat1HR, ward = ward
carNurse2, carPat1carItem, topics ] {note}
carNurse2, carPat1carItem, topics ] {nursing}
carNurse2, carPat1carItem, type [ {HR}
carNurse2, carPat1noteItem, topics ] {note}
carNurse2, carPat1noteItem, topics ] {nursing}
carNurse2, carPat1noteItem, type [ {HR}
carNurse2, carPat1nursingItem, topics ] {note}
carNurse2, carPat1nursingItem, topics ] {nursing}
carNurse2, carPat1nursingItem, type [ {HR}
carNurse2, carPat2HR, type [ {HR}
carNurse2, carPat2HR, ward = ward
carNurse2, carPat2carItem, topics ] {note}
carNurse2, carPat2carItem, topics ] {nursing}
carNurse2, carPat2carItem, type [ {HR}
carNurse2, carPat2noteItem, topics ] {note}
carNurse2, carPat2noteItem, topics ] {nursing}
carNurse2, carPat2noteItem, type [ {HR}
carNurse2, carPat2nursingItem, topics ] {note}
carNurse2, carPat2nursingItem, topics ] {nursing}
carNurse2, carPat2nursingItem, type [ {HR}
carNurse2, oncPat1HR, type [ {HR}
carNurse2, oncPat1HR, ward = ward
carNurse2, oncPat1noteItem, topics ] {note}
carNurse2, oncPat1noteItem, topics ] {nursing}
carNurse2, oncPat1noteItem, type [ {HR}
carNurse2, oncPat1nursingItem, topics ] {note}
carNurse2, oncPat1nursingItem, topics ] {nursing}
carNurse2, oncPat1nursingItem, type [ {HR}
carNurse2, oncPat1oncItem, topics ] {note}
carNurse2, oncPat1oncItem, topics ] {nursing}
carNurse2, oncPat1oncItem, type [ {HR}
carNurse2, oncPat2HR, type [ {HR}
carNurse2, oncPat2HR, ward = ward
carNurse2, oncPat2noteItem, topics ] {note}
carNurse2, oncPat2noteItem, topics ] {nursing}
carNurse2, oncPat2noteItem, type [ {HR}
carNurse2, oncPat2nursingItem, topics ] {note}
carNurse2, oncPat2nursingItem, topics ] {nursing}
carNurse2, oncPat2nursingItem, type [ {HR}
carNurse2, oncPat2oncItem, topics ] {note}
carNurse2, oncPat2oncItem, topics ] {nursing}
carNurse2, oncPat2oncItem, type [ {HR}
carPat1, carPat1HR, type [ {HR}
carPat1, carPat1carItem, topics ] {note}
carPat1, carPat1carItem, type [ {HR}
carPat1, carPat1noteItem, topics ] {note}
carPat1, carPat1noteItem, type [ {HR}
carPat1, carPat1nursingItem, topics ] {note}
carPat1, carPat1nursingItem, type [ {HR}
carPat1, carPat2HR, type [ {HR}
carPat1, carPat2carItem, topics ] {note}
carPat1, carPat2carItem, type [ {HR}
carPat1, carPat2noteItem, topics ] {note}
carPat1, carPat2noteItem, type [ {HR}
carPat1, carPat2nursingItem, topics ] {note}
carPat1, carPat2nursingItem, type [ {HR}
carPat1, oncPat1HR, type [ {HR}
carPat1, oncPat1noteItem, topics ] {note}
carPat1, oncPat1noteItem, type [ {HR}
carPat1, oncPat1nursingItem, topics ] {note}
carPat1, oncPat1nursingItem, type [ {HR}
carPat1, oncPat1oncItem, topics ] {note}
carPat1, oncPat1oncItem, type [ {HR}
carPat1, oncPat2HR, type [ {HR}
carPat1, oncPat2noteItem, topics ] {note}
carPat1, oncPat2noteItem, type [ {HR}
carPat1, oncPat2nursingItem, topics ] {note}
carPat1, oncPat2nursingItem, type [ {HR}
carPat1, oncPat2oncItem, topics ] {note}
carPat1, oncPat2oncItem, type [ {HR}
carPat2, carPat1HR, type [ {HR}
carPat2, carPat1carItem, topics ] {note}
carPat2, carPat1carItem, type [ {HR}
carPat2, carPat1noteItem, topics ] {note}
carPat2, carPat1noteItem, type [ {HR}
carPat2, carPat1nursingItem, topics ] {note}
carPat2, carPat1nursingItem, type [ {HR}
carPat2, carPat2HR, type [ {HR}
carPat2, carPat2carItem, topics ] {note}
carPat2, carPat2carItem, type [ {HR}
carPat2, carPat2noteItem, topics ] {note}
carPat2, carPat2noteItem, type [ {HR}
carPat2, carPat2nursingItem, topics ] {note}
carPat2, carPat2nursingItem, type [ {HR}
carPat2, oncPat1HR, type [ {HR}
carPat2, oncPat1noteItem, topics ] {note}
carPat2, oncPat1noteItem, type [ {HR}
carPat2, oncPat1nursingItem, topics ] {note}
carPat2, oncPat1nursingItem, type [ {HR}
carPat2, oncPat1oncItem, topics ] {note}
carPat2, oncPat1oncItem, type [ {HR}
carPat2, oncPat2HR, type [ {HR}
carPat2, oncPat2noteItem, topics ] {note}
carPat2, oncPat2noteItem, type [ {HR}
carPat2, oncPat2nursingItem, topics ] {note}
carPat2, oncPat2nursingItem, type [ {HR}
carPat2, oncPat2oncItem, topics ] {note}
carPat2, oncPat2oncItem, type [ {HR}
doc1, carPat1HR, type [ {HR}
doc1, carPat1carItem, topics ] {note}
doc1, carPat1carItem, type [ {HR}
doc1, carPat1noteItem, topics ] {note}
doc1, carPat1noteItem, type [ {HR}
doc1, carPat1nursingItem, topics ] {note}
doc1, carPat1nursingItem, type [ {HR}
doc1, carPat2HR, type [ {HR}
doc1, carPat2carItem, topics ] {note}
doc1, carPat2carItem, type [ {HR}
doc1, carPat2noteItem, topics ] {note}
doc1, carPat2noteItem, type [ {HR}
doc1, carPat2nursingItem, topics ] {note}
doc1, carPat2nursingItem, type [ {HR}
doc1, oncPat1HR, type [ {HR}
doc1, oncPat1noteItem, topics ] {note}
doc1, oncPat1noteItem, type [ {HR}
doc1, oncPat1nursingItem, topics ] {note}
doc1, oncPat1nursingItem, type [ {HR}
doc1, oncPat1oncItem, topics ] {note}
doc1, oncPat1oncItem, type [ {HR}
doc1, oncPat2HR, type [ {HR}
doc1, oncPat2noteItem, topics ] {note}
doc1, oncPat2noteItem, type [ {HR}
doc1, oncPat2nursingItem, topics ] {note}
doc1, oncPat2nursingItem, type [ {HR}
doc1, oncPat2oncItem, topics ] {note}
doc1, oncPat2oncItem, type [ {HR}
doc2, carPat1HR, type [ {HR}
doc2, carPat1carItem, topics ] {note}
doc2, carPat1carItem, type [ {HR}
doc2, carPat1noteItem, topics ] {note}
doc2, carPat1noteItem, type [ {HR}
doc2, carPat1nursingItem, topics ] {note}
doc2, carPat1nursingItem, type [ {HR}
doc2, carPat2HR, type [ {HR}
doc2, carPat2carItem, topics ] {note}
doc2, carPat2carItem, type [ {HR}
doc2, carPat2noteItem, topics ] {note}
doc2, carPat2noteItem, type [ {HR}
doc2, carPat2nursingItem, topics ] {note}
doc2, carPat2nursingItem, type [ {HR}
doc2, oncPat1HR, type [ {HR}
doc2, oncPat1noteItem, topics ] {note}
doc2, oncPat1noteItem, type [ {HR}
doc2, oncPat1nursingItem, topics ] {note}
doc2, oncPat1nursingItem, type [ {HR}
doc2, oncPat1oncItem, topics ] {note}
doc2, oncPat1oncItem, type [ {HR}
doc2, oncPat2HR, type [ {HR}
doc2, oncPat2noteItem, topics ] {note}
doc2, oncPat2noteItem, type [ {HR}
doc2, oncPat2nursingItem, topics ] {note}
doc2, oncPat2nursingItem, type [ {HR}
doc2, oncPat2oncItem, topics ] {note}
doc2, oncPat2oncItem, type [ {HR}
oncAgent1, carPat1HR, type [ {HR}
oncAgent1, carPat1carItem, topics ] {note}
oncAgent1, carPat1carItem, type [ {HR}
oncAgent1, carPat1noteItem, topics ] {note}
oncAgent1, carPat1noteItem, type [ {HR}
oncAgent1, carPat1nursingItem, topics ] {note}
oncAgent1, carPat1nursingItem, type [ {HR}
oncAgent1, carPat2HR, type [ {HR}
oncAgent1, carPat2carItem, topics ] {note}
oncAgent1, carPat2carItem, type [ {HR}
oncAgent1, carPat2noteItem, topics ] {note}
oncAgent1, carPat2noteItem, type [ {HR}
oncAgent1, carPat2nursingItem, topics ] {note}
oncAgent1, carPat2nursingItem, type [ {HR}
oncAgent1, oncPat1HR, type [ {HR}
oncAgent1, oncPat1noteItem, topics ] {note}
oncAgent1, oncPat1noteItem, type [ {HR}
oncAgent1, oncPat1nursingItem, topics ] {note}
oncAgent1, oncPat1nursingItem, type [ {HR}
oncAgent1, oncPat1oncItem, topics ] {note}
oncAgent1, oncPat1oncItem, type [ {HR}
oncAgent1, oncPat2HR, type [ {HR}
oncAgent1, oncPat2noteItem, topics ] {note}
oncAgent1, oncPat2noteItem, type [ {HR}
oncAgent1, oncPat2nursingItem, topics ] {note}
oncAgent1, oncPat2nursingItem, type [ {HR}
oncAgent1, oncPat2oncItem, topics ] {note}
oncAgent1, oncPat2oncItem, type [ {HR}
oncAgent2, carPat1HR, type [ {HR}
oncAgent2, carPat1carItem, topics ] {note}
oncAgent2, carPat1carItem, type [ {HR}
oncAgent2, carPat1noteItem, topics ] {note}
oncAgent2, carPat1noteItem, type [ {HR}
oncAgent2, carPat1nursingItem, topics ] {note}
oncAgent2, carPat1nursingItem, type [ {HR}
oncAgent2, carPat2HR, type [ {HR}
oncAgent2, carPat2carItem, topics ] {note}
oncAgent2, carPat2carItem, type [ {HR}
oncAgent2, carPat2noteItem, topics ] {note}
oncAgent2, carPat2noteItem, type [ {HR}
oncAgent2, carPat2nursingItem, topics ] {note}
oncAgent2, carPat2nursingItem, type [ {HR}
oncAgent2, oncPat1HR, type [ {HR}
oncAgent2, oncPat1noteItem, topics ] {note}
oncAgent2, oncPat1noteItem, type [ {HR}
oncAgent2, oncPat1nursingItem, topics ] {note}
oncAgent2, oncPat1nursingItem, type [ {HR}
oncAgent2, oncPat1oncItem, topics ] {note}
oncAgent2, oncPat1oncItem, type [ {HR}
oncAgent2, oncPat2HR, type [ {HR}
oncAgent2, oncPat2noteItem, topics ] {note}
oncAgent2, oncPat2noteItem, type [ {HR}
oncAgent2, oncPat2nursingItem, topics ] {note}
oncAgent2, oncPat2nursingItem, type [ {HR}
oncAgent2, oncPat2oncItem, topics ] {note}
oncAgent2, oncPat2oncItem, type [ {HR}
oncDoc1, carPat1HR, type [ {HR}
oncDoc1, carPat1carItem, topics ] {note}
oncDoc1, carPat1carItem, type [ {HR}
oncDoc1, carPat1noteItem, topics ] {note}
oncDoc1, carPat1noteItem, type [ {HR}
oncDoc1, carPat1nursingItem, topics ] {note}
oncDoc1, carPat1nursingItem, type [ {HR}
oncDoc1, carPat2HR, type [ {HR}
oncDoc1, carPat2carItem, topics ] {note}
oncDoc1, carPat2carItem, type [ {HR}
oncDoc1, carPat2noteItem, topics ] {note}
oncDoc1, carPat2noteItem, type [ {HR}
oncDoc1, carPat2nursingItem, topics ] {note}
oncDoc1, carPat2nursingItem, type [ {HR}
oncDoc1, oncPat1HR, type [ {HR}
oncDoc1, oncPat1noteItem, topics ] {note}
oncDoc1, oncPat1noteItem, type [ {HR}
oncDoc1, oncPat1nursingItem, topics ] {note}
oncDoc1, oncPat1nursingItem, type [ {HR}
oncDoc1, oncPat1oncItem, topics ] {note}
oncDoc1, oncPat1oncItem, type [ {HR}
oncDoc1, oncPat2HR, type [ {HR}
oncDoc1, oncPat2noteItem, topics ] {note}
oncDoc1, oncPat2noteItem, type [ {HR}
oncDoc1, oncPat2nursingItem, topics ] {note}
oncDoc1, oncPat2nursingItem, type [ {HR}
oncDoc1, oncPat2oncItem, topics ] {note}
oncDoc1, oncPat2oncItem, type [ {HR}
oncDoc2, carPat1HR, type [ {HR}
oncDoc2, carPat1carItem, topics ] {note}
oncDoc2, carPat1carItem, type [ {HR}
oncDoc2, carPat1noteItem, topics ] {note}
oncDoc2, carPat1noteItem, type [ {HR}
oncDoc2, carPat1nursingItem, topics ] {note}
oncDoc2, carPat1nursingItem, type [ {HR}
oncDoc2, carPat2HR, type [ {HR}
oncDoc2, carPat2carItem, topics ] {note}
oncDoc2, carPat2carItem, type [ {HR}
oncDoc2, carPat2noteItem, topics ] {note}
oncDoc2, carPat2noteItem, type [ {HR}
oncDoc2, carPat2nursingItem, topics ] {note}
oncDoc2, carPat2nursingItem, type [ {HR}
oncDoc2, oncPat1HR, type [ {HR}
oncDoc2, oncPat1noteItem, topics ] {note}
oncDoc2, oncPat1noteItem, type [ {HR}
oncDoc2, oncPat1nursingItem, topics ] {note}
oncDoc2, oncPat1nursingItem, type [ {HR}
oncDoc2, oncPat1oncItem, topics ] {note}
oncDoc2, oncPat1oncItem, type [ {HR}
oncDoc2, oncPat2HR, type [ {HR}
oncDoc2, oncPat2noteItem, topics ] {note}
oncDoc2, oncPat2noteItem, type [ {HR}
oncDoc2, oncPat2nursingItem, topics ] {note}
oncDoc2, oncPat2nursingItem, type [ {HR}
oncDoc2, oncPat2oncItem, topics ] {note}
oncDoc2, oncPat2oncItem, type [ {HR}
oncDoc3, carPat1HR, type [ {HR}
oncDoc3, carPat1carItem, topics ] {note}
oncDoc3, carPat1carItem, type [ {HR}
oncDoc3, carPat1noteItem, topics ] {note}
oncDoc3, carPat1noteItem, type [ {HR}
oncDoc3, carPat1nursingItem, topics ] {note}
oncDoc3, carPat1nursingItem, type [ {HR}
oncDoc3, carPat2HR, type [ {HR}
oncDoc3, carPat2carItem, topics ] {note}
oncDoc3, carPat2carItem, type [ {HR}
oncDoc3, carPat2noteItem, topics ] {note}
oncDoc3, carPat2noteItem, type [ {HR}
oncDoc3, carPat2nursingItem, topics ] {note}
oncDoc3, carPat2nursingItem, type [ {HR}
oncDoc3, oncPat1HR, type [ {HR}
oncDoc3, oncPat1noteItem, topics ] {note}
oncDoc3, oncPat1noteItem, type [ {HR}
oncDoc3, oncPat1nursingItem, topics ] {note}
oncDoc3, oncPat1nursingItem, type [ {HR}
oncDoc3, oncPat1oncItem, topics ] {note}
oncDoc3, oncPat1oncItem, type [ {HR}
oncDoc3, oncPat2HR, type [ {HR}
oncDoc3, oncPat2noteItem, topics ] {note}
oncDoc3, oncPat2noteItem, type [ {HR}
oncDoc3, oncPat2nursingItem, topics ] {note}
oncDoc3, oncPat2nursingItem, type [ {HR}
oncDoc3, oncPat2oncItem, topics ] {note}
oncDoc3, oncPat2oncItem, type [ {HR}
oncDoc4, carPat1HR, type [ {HR}
oncDoc4, carPat1carItem, topics ] {note}
oncDoc4, carPat1carItem, type [ {HR}
oncDoc4, carPat1noteItem, topics ] {note}
oncDoc4, carPat1noteItem, type [ {HR}
oncDoc4, carPat1nursingItem, topics ] {note}
oncDoc4, carPat1nursingItem, type [ {HR}
oncDoc4, carPat2HR, type [ {HR}
oncDoc4, carPat2carItem, topics ] {note}
oncDoc4, carPat2carItem, type [ {HR}
oncDoc4, carPat2noteItem, topics ] {note}
oncDoc4, carPat2noteItem, type [ {HR}
oncDoc4, carPat2nursingItem, topics ] {note}
oncDoc4, carPat2nursingItem, type [ {HR}
oncDoc4, oncPat1HR, type [ {HR}
oncDoc4, oncPat1noteItem, topics ] {note}
oncDoc4, oncPat1noteItem, type [ {HR}
oncDoc4, oncPat1nursingItem, topics ] {note}
oncDoc4, oncPat1nursingItem, type [ {HR}
oncDoc4, oncPat1oncItem, topics ] {note}
oncDoc4, oncPat1oncItem, type [ {HR}
oncDoc4, oncPat2HR, type [ {HR}
oncDoc4, oncPat2noteItem, topics ] {note}
oncDoc4, oncPat2noteItem, type [ {HR}
oncDoc4, oncPat2nursingItem, topics ] {note}
oncDoc4, oncPat2nursingItem, type [ {HR}
oncDoc4, oncPat2oncItem, topics ] {note}
oncDoc4, oncPat2oncItem, type [ {HR}
oncNurse1, carPat1HR, type [ {HR}
oncNurse1, carPat1HR, ward = ward
oncNurse1, carPat1carItem, topics ] {note}
oncNurse1, carPat1carItem, topics ] {nursing}
oncNurse1, carPat1carItem, type [ {HR}
oncNurse1, carPat1noteItem, topics ] {note}
oncNurse1, carPat1noteItem, topics ] {nursing}
oncNurse1, carPat1noteItem, type [ {HR}
oncNurse1, carPat1nursingItem, topics ] {note}
oncNurse1, carPat1nursingItem, topics ] {nursing}
oncNurse1, carPat1nursingItem, type [ {HR}
oncNurse1, carPat2HR, type [ {HR}
oncNurse1, carPat2HR, ward = ward
oncNurse1, carPat2carItem, topics ] {note}
oncNurse1, carPat2carItem, topics ] {nursing}
oncNurse1, carPat2carItem, type [ {HR}
oncNurse1, carPat2noteItem, topics ] {note}
oncNurse1, carPat2noteItem, topics ] {nursing}
oncNurse1, carPat2noteItem, type [ {HR}
oncNurse1, carPat2nursingItem, topics ] {note}
oncNurse1, carPat2nursingItem, topics ] {nursing}
oncNurse1, carPat2nursingItem, type [ {HR}
oncNurse1, oncPat1HR, type [ {HR}
oncNurse1, oncPat1HR, ward = ward
oncNurse1, oncPat1noteItem, topics ] {note}
oncNurse1, oncPat1noteItem, topics ] {nursing}
oncNurse1, oncPat1noteItem, type [ {HR}
oncNurse1, oncPat1nursingItem, topics ] {note}
oncNurse1, oncPat1nursingItem, topics ] {nursing}
oncNurse1, oncPat1nursingItem, type [ {HR}
oncNurse1, oncPat1oncItem, topics ] {note}
oncNurse1, oncPat1oncItem, topics ] {nursing}
oncNurse1, oncPat1oncItem, type [ {HR}
oncNurse1, oncPat2HR, type [ {HR}
oncNurse1, oncPat2HR, ward = ward
oncNurse1, oncPat2noteItem, topics ] {note}
oncNurse1, oncPat2noteItem, topics ] {nursing}
oncNurse1, oncPat2noteItem, type [ {HR}
oncNurse1, oncPat2nursingItem, topics ] {note}
oncNurse1, oncPat2nursingItem, topics ] {nursing}
oncNurse1, oncPat2nursingItem, type [ {HR}
oncNurse1, oncPat2oncItem, topics ] {note}
oncNurse1, oncPat2oncItem, topics ] {nursing}
oncNurse1, oncPat2oncItem, type [ {HR}
oncNurse2, carPat1HR, type [ {HR}
oncNurse2, carPat1HR, ward = ward
oncNurse2, carPat1carItem, topics ] {note}
oncNurse2, carPat1carItem, topics ] {nursing}
oncNurse2, carPat1carItem, type [ {HR}
oncNurse2, carPat1noteItem, topics ] {note}
